bar,date,year,era,members,entries,exits,gross_bp,cost_bp,net_PUB_bp,net_PB_bp,equity_gross_bp,equity_net_PUB_bp,market_bp
3456,2023-09-27,2023,2,53,0,0,120.18380699,0.7746539,119.40915308,119.86476368,5118.313582,3215.7636,51.80259048
3457,2023-09-28,2023,2,52,1,2,33.42154927,0.7746539,32.64689537,33.10250597,5151.735131,3248.410495,86.56935112
3458,2023-09-29,2023,2,53,1,0,-106.73046694,0.7746539,-107.50512084,-107.04951024,5045.004664,3140.905374,-14.86294453
3459,2023-10-02,2023,2,53,0,0,18.98898084,0.7746539,18.21432693,18.66993753,5063.993645,3159.119701,-134.30242087
3460,2023-10-03,2023,2,52,0,1,-73.00436687,0.7746539,-73.77902077,-73.32341017,4990.989278,3085.34068,-164.06500195
3461,2023-10-04,2023,2,52,0,0,-24.54796557,0.7746539,-25.32261947,-24.86700887,4966.441313,3060.018061,33.55876838
3462,2023-10-05,2023,2,51,0,1,5.22761696,0.7746539,4.45296306,4.90857366,4971.66893,3064.471024,-15.66998223
3463,2023-10-06,2023,2,51,0,0,26.42905494,0.7746539,25.65440104,26.11001164,4998.097985,3090.125425,94.1457242
3464,2023-10-09,2023,2,52,1,0,-19.52412323,0.7746539,-20.29877713,-19.84316653,4978.573861,3069.826648,64.40284279
3465,2023-10-10,2023,2,52,0,0,7.67275678,0.7746539,6.89810288,7.35371348,4986.246618,3076.724751,107.28640272
3466,2023-10-11,2023,2,54,2,0,80.72649072,0.7746539,79.95183682,80.40744742,5066.973109,3156.676588,6.93970566
3467,2023-10-12,2023,2,53,0,1,-60.65525261,0.7746539,-61.42990651,-60.97429591,5006.317856,3095.246681,-187.22041535
3468,2023-10-13,2023,2,53,0,0,-92.31352065,0.7746539,-93.08817455,-92.63256395,4914.004336,3002.158507,-56.72753518
3469,2023-10-16,2023,2,53,0,0,2.96600571,0.7746539,2.19135181,2.64696241,4916.970341,3004.349858,156.16160692
3470,2023-10-17,2023,2,54,1,0,-17.26453104,0.7746539,-18.03918494,-17.58357434,4899.70581,2986.310673,85.03683485
3471,2023-10-18,2023,2,54,0,0,-63.68905529,0.7746539,-64.46370919,-64.00809859,4836.016755,2921.846964,-200.22655458
3472,2023-10-19,2023,2,54,0,0,-41.85232633,0.7746539,-42.62698023,-42.17136963,4794.164429,2879.219984,-125.74598096
3473,2023-10-20,2023,2,54,0,0,-12.57626476,0.7746539,-13.35091866,-12.89530806,4781.588164,2865.869065,-119.20495664
3474,2023-10-23,2023,2,54,1,1,62.88282888,0.7746539,62.10817498,62.56378558,4844.470993,2927.97724,-73.41665897
3475,2023-10-24,2023,2,54,1,1,88.68139139,0.7746539,87.90673749,88.36234809,4933.152384,3015.883978,84.71782275
3476,2023-10-25,2023,2,53,1,2,-18.56350829,0.7746539,-19.33816219,-18.88255159,4914.588876,2996.545816,-162.35131855
3477,2023-10-26,2023,2,54,1,0,-62.12982274,0.7746539,-62.90447664,-62.44886604,4852.459053,2933.641339,8.60962079
3478,2023-10-27,2023,2,53,1,2,60.17976202,0.7746539,59.40510812,59.86071872,4912.638815,2993.046447,-125.31622539
3479,2023-10-30,2023,2,54,1,0,-31.54959954,0.7746539,-32.32425344,-31.86864284,4881.089216,2960.722194,83.05200506
3480,2023-10-31,2023,2,57,3,0,9.74691964,0.7746539,8.97226574,9.42787634,4890.836135,2969.694459,78.3253951
3481,2023-11-01,2023,2,57,1,1,141.97470574,0.7746539,141.20005184,141.65566244,5032.810841,3110.894511,38.00367963
3482,2023-11-02,2023,2,58,1,0,21.04177267,0.7746539,20.26711877,20.72272937,5053.852614,3131.16163,275.46007175
3483,2023-11-03,2023,2,58,1,1,8.70003704,0.7746539,7.92538314,8.38099374,5062.552651,3139.087013,238.9815195
3484,2023-11-06,2023,2,58,1,1,42.94785742,0.7746539,42.17320352,42.62881412,5105.500508,3181.260217,-106.60745922
3485,2023-11-07,2023,2,60,2,0,40.98746599,0.7746539,40.21281209,40.66842269,5146.487974,3221.473029,-4.62092736
3486,2023-11-08,2023,2,61,1,0,77.83537602,0.7746539,77.06072212,77.51633272,5224.32335,3298.533751,-79.01067859
3487,2023-11-09,2023,2,61,1,1,44.07436326,0.7746539,43.29970936,43.75531996,5268.397713,3341.83346,-137.92912589
3488,2023-11-10,2023,2,60,0,1,10.87034006,0.7746539,10.09568616,10.55129676,5279.268053,3351.929146,90.71789943
3489,2023-11-13,2023,2,60,1,1,28.8153443,0.7746539,28.0406904,28.496301,5308.083398,3379.969837,-2.84425347
3490,2023-11-14,2023,2,59,0,1,21.33242172,0.7746539,20.55776781,21.01337841,5329.41582,3400.527605,435.15130126
3491,2023-11-15,2023,2,59,1,1,-74.47412327,0.7746539,-75.24877717,-74.79316657,5254.941696,3325.278828,57.6283506
3492,2023-11-16,2023,2,58,0,1,19.53296411,0.7746539,18.7583102,19.2139208,5274.47466,3344.037138,-101.86676404
3493,2023-11-17,2023,2,57,1,2,15.59949806,0.7746539,14.82484416,15.28045476,5290.074158,3358.861982,103.34902023
3494,2023-11-20,2023,2,57,0,0,59.2838548,0.7746539,58.5092009,58.9648115,5349.358013,3417.371183,61.00898182
3495,2023-11-21,2023,2,57,0,0,15.51904977,0.7746539,14.74439587,15.20000647,5364.877063,3432.115579,-87.1084421
3496,2023-11-22,2023,2,58,1,0,-24.34995041,0.7746539,-25.12460431,-24.66899371,5340.527113,3406.990974,55.45504346
3497,2023-11-24,2023,2,58,0,0,2.00410126,0.7746539,1.22944736,1.68505796,5342.531214,3408.220422,59.42726248
3498,2023-11-27,2023,2,58,0,0,60.57513877,0.7746539,59.80048487,60.25609547,5403.106353,3468.020907,-29.97039208
3499,2023-11-28,2023,2,60,2,0,-37.50421684,0.7746539,-38.27887074,-37.82326014,5365.602136,3429.742036,-9.77016121
3500,2023-11-29,2023,2,60,1,1,10.77790897,0.7746539,10.00325507,10.45886567,5376.380045,3439.745291,63.59294717
3501,2023-11-30,2023,2,60,0,0,96.6264127,0.7746539,95.85175879,96.30736939,5473.006457,3535.59705,48.46917945
3502,2023-12-01,2023,2,60,0,0,-15.55200031,0.7746539,-16.32665422,-15.87104362,5457.454457,3519.270395,237.24818002
3503,2023-12-04,2023,2,60,0,0,-39.20018727,0.7746539,-39.97484118,-39.51923058,5418.25427,3479.295554,48.27583167
3504,2023-12-05,2023,2,61,1,0,26.62818597,0.7746539,25.85353207,26.30914267,5444.882456,3505.149086,-127.10048163
3505,2023-12-06,2023,2,60,0,1,-73.84827385,0.7746539,-74.62292775,-74.16731715,5371.034182,3430.526159,-9.55336225
3506,2023-12-07,2023,2,61,1,0,23.6173805,0.7746539,22.8427266,23.2983372,5394.651562,3453.368885,77.35388107
3507,2023-12-08,2023,2,60,0,1,124.03612839,0.7746539,123.26147448,123.71708508,5518.687691,3576.63036,43.22561758
3508,2023-12-11,2023,2,61,1,0,-27.2935186,0.7746539,-28.0681725,-27.6125619,5491.394172,3548.562187,49.3891362
