currency,area,period,rate_pct,filled
CAD,CAN,2006-12,4.16,False
CAD,CAN,2007-01,4.156,False
CAD,CAN,2007-02,4.18,False
CAD,CAN,2007-03,4.1675,False
CAD,CAN,2007-04,4.1625,False
CAD,CAN,2007-05,4.19,False
CAD,CAN,2007-06,4.36,False
CAD,CAN,2007-07,4.4975,False
CAD,CAN,2007-08,4.262,False
CAD,CAN,2007-09,3.9975,False
CAD,CAN,2007-10,3.936,False
CAD,CAN,2007-11,3.9625,False
CAD,CAN,2007-12,3.8325,False
CAD,CAN,2008-01,3.582,False
CAD,CAN,2008-02,3.265,False
CAD,CAN,2008-03,2.185,False
CAD,CAN,2008-04,2.404,False
CAD,CAN,2008-05,2.65,False
CAD,CAN,2008-06,2.6125,False
CAD,CAN,2008-07,2.368,False
CAD,CAN,2008-08,2.47,False
CAD,CAN,2008-09,2.1175,False
CAD,CAN,2008-10,1.556,False
CAD,CAN,2008-11,1.7825,False
CAD,CAN,2008-12,1.05,False
CAD,CAN,2009-01,0.8025,False
CAD,CAN,2009-02,0.7275,False
CAD,CAN,2009-03,0.4075,False
CAD,CAN,2009-04,0.324,False
CAD,CAN,2009-05,0.18,False
CAD,CAN,2009-06,0.225,False
CAD,CAN,2009-07,0.234,False
CAD,CAN,2009-08,0.23,False
CAD,CAN,2009-09,0.22,False
CAD,CAN,2009-10,0.215,False
CAD,CAN,2009-11,0.215,False
CAD,CAN,2009-12,0.198,False
CAD,CAN,2010-01,0.1725,False
CAD,CAN,2010-02,0.165,False
CAD,CAN,2010-03,0.228,False
CAD,CAN,2010-04,0.3375,False
CAD,CAN,2010-05,0.39,False
CAD,CAN,2010-06,0.522,False
CAD,CAN,2010-07,0.575,False
CAD,CAN,2010-08,0.66,False
CAD,CAN,2010-09,0.85,False
CAD,CAN,2010-10,0.895,False
CAD,CAN,2010-11,0.9525,False
CAD,CAN,2010-12,0.994,False
CAD,CAN,2011-01,0.9625,False
CAD,CAN,2011-02,0.9525,False
CAD,CAN,2011-03,0.926,False
CAD,CAN,2011-04,0.965,False
CAD,CAN,2011-05,0.9625,False
CAD,CAN,2011-06,0.928,False
CAD,CAN,2011-07,0.9225,False
CAD,CAN,2011-08,0.874,False
CAD,CAN,2011-09,0.8725,False
CAD,CAN,2011-10,0.8625,False
CAD,CAN,2011-11,0.882,False
CAD,CAN,2011-12,0.83,False
CAD,CAN,2012-01,0.825,False
CAD,CAN,2012-02,0.918,False
CAD,CAN,2012-03,0.915,False
CAD,CAN,2012-04,0.9825,False
CAD,CAN,2012-05,0.988,False
CAD,CAN,2012-06,0.8825,False
CAD,CAN,2012-07,0.8875,False
CAD,CAN,2012-08,1.002,False
CAD,CAN,2012-09,1.0075,False
CAD,CAN,2012-10,0.976,False
CAD,CAN,2012-11,0.97,False
CAD,CAN,2012-12,0.945,False
CAD,CAN,2013-01,0.92,False
CAD,CAN,2013-02,0.9475,False
CAD,CAN,2013-03,0.9625,False
CAD,CAN,2013-04,0.9825,False
CAD,CAN,2013-05,0.998,False
CAD,CAN,2013-06,1.025,False
CAD,CAN,2013-07,1.012,False
CAD,CAN,2013-08,0.9925,False
CAD,CAN,2013-09,0.9875,False
CAD,CAN,2013-10,0.924,False
CAD,CAN,2013-11,0.925,False
CAD,CAN,2013-12,0.9175,False
CAD,CAN,2014-01,0.894,False
CAD,CAN,2014-02,0.87,False
CAD,CAN,2014-03,0.8425,False
CAD,CAN,2014-04,0.926,False
CAD,CAN,2014-05,0.925,False
CAD,CAN,2014-06,0.935,False
CAD,CAN,2014-07,0.948,False
CAD,CAN,2014-08,0.95,False
CAD,CAN,2014-09,0.9275,False
CAD,CAN,2014-10,0.894,False
CAD,CAN,2014-11,0.9025,False
CAD,CAN,2014-12,0.902,False
CAD,CAN,2015-01,0.765,False
CAD,CAN,2015-02,0.5325,False
CAD,CAN,2015-03,0.5525,False
CAD,CAN,2015-04,0.618,False
CAD,CAN,2015-05,0.6575,False
CAD,CAN,2015-06,0.61,False
CAD,CAN,2015-07,0.47,False
CAD,CAN,2015-08,0.385,False
CAD,CAN,2015-09,0.4,False
CAD,CAN,2015-10,0.4025,False
CAD,CAN,2015-11,0.4525,False
CAD,CAN,2015-12,0.484,False
CAD,CAN,2016-01,0.435,False
CAD,CAN,2016-02,0.4575,False
CAD,CAN,2016-03,0.46,False
CAD,CAN,2016-04,0.5125,False
CAD,CAN,2016-05,0.5075,False
CAD,CAN,2016-06,0.51,False
CAD,CAN,2016-07,0.5,False
CAD,CAN,2016-08,0.506,False
CAD,CAN,2016-09,0.505,False
CAD,CAN,2016-10,0.4875,False
CAD,CAN,2016-11,0.48,False
CAD,CAN,2016-12,0.4775,False
CAD,CAN,2017-01,0.45,False
CAD,CAN,2017-02,0.465,False
CAD,CAN,2017-03,0.498,False
CAD,CAN,2017-04,0.535,False
CAD,CAN,2017-05,0.512,False
CAD,CAN,2017-06,0.565,False
CAD,CAN,2017-07,0.73,False
CAD,CAN,2017-08,0.722,False
CAD,CAN,2017-09,0.98,False
CAD,CAN,2017-10,0.96,False
CAD,CAN,2017-11,0.88,False
CAD,CAN,2017-12,0.96,False
CAD,CAN,2018-01,1.164,False
CAD,CAN,2018-02,1.1625,False
CAD,CAN,2018-03,1.095,False
CAD,CAN,2018-04,1.165,False
CAD,CAN,2018-05,1.246,False
CAD,CAN,2018-06,1.2375,False
CAD,CAN,2018-07,1.375,False
CAD,CAN,2018-08,1.488,False
CAD,CAN,2018-09,1.5175,False
CAD,CAN,2018-10,1.66,False
CAD,CAN,2018-11,1.7125,False
CAD,CAN,2018-12,1.66,False
CAD,CAN,2019-01,1.634,False
CAD,CAN,2019-02,1.665,False
CAD,CAN,2019-03,1.66,False
CAD,CAN,2019-04,1.675,False
CAD,CAN,2019-05,1.678,False
CAD,CAN,2019-06,1.665,False
CAD,CAN,2019-07,1.654,False
CAD,CAN,2019-08,1.635,False
CAD,CAN,2019-09,1.6275,False
CAD,CAN,2019-10,1.654,False
CAD,CAN,2019-11,1.6625,False
CAD,CAN,2019-12,1.6575,False
CAD,CAN,2020-01,1.646,False
CAD,CAN,2020-02,1.6325,False
CAD,CAN,2020-03,0.6725,False
CAD,CAN,2020-04,0.246,False
CAD,CAN,2020-05,0.235,False
CAD,CAN,2020-06,0.1925,False
CAD,CAN,2020-07,0.18,False
CAD,CAN,2020-08,0.1575,False
CAD,CAN,2020-09,0.142,False
CAD,CAN,2020-10,0.1,False
CAD,CAN,2020-11,0.1075,False
CAD,CAN,2020-12,0.106,False
CAD,CAN,2021-01,0.0575,False
CAD,CAN,2021-02,0.0825,False
CAD,CAN,2021-03,0.106,False
CAD,CAN,2021-04,0.0925,False
CAD,CAN,2021-05,0.0975,False
CAD,CAN,2021-06,0.128,False
CAD,CAN,2021-07,0.1675,False
CAD,CAN,2021-08,0.1775,False
CAD,CAN,2021-09,0.132,False
CAD,CAN,2021-10,0.12,False
CAD,CAN,2021-11,0.1175,False
CAD,CAN,2021-12,0.078,False
CAD,CAN,2022-01,0.305,False
CAD,CAN,2022-02,0.325,False
CAD,CAN,2022-03,0.566,False
CAD,CAN,2022-04,1.0475,False
CAD,CAN,2022-05,1.3675,False
CAD,CAN,2022-06,1.834,False
CAD,CAN,2022-07,2.445,False
CAD,CAN,2022-08,2.908,False
CAD,CAN,2022-09,3.42,False
CAD,CAN,2022-10,3.76,False
CAD,CAN,2022-11,3.988,False
CAD,CAN,2022-12,4.1675,False
CAD,CAN,2023-01,4.325,False
CAD,CAN,2023-02,4.45,False
CAD,CAN,2023-03,4.388,False
CAD,CAN,2023-04,4.3675,False
CAD,CAN,2023-05,4.478,False
CAD,CAN,2023-06,4.8325,False
CAD,CAN,2023-07,4.935,False
CAD,CAN,2023-08,5.054,False
CAD,CAN,2023-09,5.0375,False
CAD,CAN,2023-10,5.08,False
CAD,CAN,2023-11,4.996,False
CAD,CAN,2023-12,4.9475,False
CAD,CAN,2024-01,4.948,False
CAD,CAN,2024-02,4.935,False
CAD,CAN,2024-03,4.905,False
CAD,CAN,2024-04,4.925,False
CAD,CAN,2024-05,4.868,False
CAD,CAN,2024-06,4.6475,False
CAD,CAN,2024-07,4.508,False
CAD,CAN,2024-08,4.2325,False
CAD,CAN,2024-09,4.0425,False
CAD,CAN,2024-10,3.71,False
CAD,CAN,2024-11,3.48,False
CAD,CAN,2024-12,3.195,False
CAD,CAN,2025-01,3.058,False
CAD,CAN,2025-02,2.8425,False
CAD,CAN,2025-03,2.66,False
CAD,CAN,2025-04,2.622,False
CAD,CAN,2025-05,2.6225,False
CAD,CAN,2025-06,2.66,False
CAD,CAN,2025-07,2.662,False
CAD,CAN,2025-08,2.655,False
CAD,CAN,2025-09,2.4925,False
CAD,CAN,2025-10,2.334,False
CAD,CAN,2025-11,2.185,False
CAD,CAN,2025-12,2.164,False
CAD,CAN,2026-01,2.19,False
CAD,CAN,2026-02,2.1775,False
CAD,CAN,2026-03,2.23,False
CAD,CAN,2026-04,2.272,False
CAD,CAN,2026-05,2.2925,False
CAD,CAN,2026-06,2.2725,False
CAD,CAN,2026-07,2.258,False
